,SF ABF93_1-R1,SF ABF93_1-R2,SF ABF93_1-R3,SF ABF93_10-R1,SF ABF93_10-R2,SF ABF93_10-R3,SF ABF93_11-R1,SF ABF93_11-R2,SF ABF93_11-R3,SF ABF93_12-R1,SF ABF93_12-R2,SF ABF93_12-R3,SF ABF93_13-R1,SF ABF93_13-R2,SF ABF93_13-R3,SF ABF93_14-R1,SF ABF93_14-R2,SF ABF93_14-R3,SF ABF93_15-R1,SF ABF93_15-R2,SF ABF93_15-R3,SF ABF93_16-R1,SF ABF93_16-R2,SF ABF93_16-R3,SF ABF93_17-R1,SF ABF93_17-R2,SF ABF93_17-R3,SF ABF93_2-R1,SF ABF93_2-R2,SF ABF93_2-R3,SF ABF93_3-R1,SF ABF93_3-R2,SF ABF93_3-R3,SF ABF93_4-R1,SF ABF93_4-R2,SF ABF93_4-R3,SF ABF93_5-R1,SF ABF93_5-R2,SF ABF93_5-R3,SF ABF93_6-R1,SF ABF93_6-R2,SF ABF93_6-R3,SF ABF93_7-R1,SF ABF93_7-R2,SF ABF93_7-R3,SF ABF93_8-R1,SF ABF93_8-R2,SF ABF93_8-R3,SF ABF93_9-R1,SF ABF93_9-R2,SF ABF93_9-R3
NE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r1,0.700464038951346,0.702898029958654,0.6818795299949961,0.5390105133335418,0.491422055375314,0.5540925459704923,0.6229753920622142,0.6152754831459802,0.6117935481566381,0.5572634977212081,0.44028834365391617,0.5572898335368892,0.6035575281967114,0.5971318434555741,0.5771408961317723,0.5068127655801671,0.5513170884499429,0.3877792275953163,0.4904566572061579,0.4627941618322605,0.42607414865057863,0.606711282684976,0.5887866602460937,0.6037141911889411,0.6055413722734148,0.6042038777783639,0.6017815195378998,0.6407424745716223,0.6124144928632923,0.6090269882130415,0.6029201643879478,0.603419117605891,0.5931073711298337,0.5849213714858839,0.5985695588307262,0.5751623586832217,0.5005228027578384,0.4714873180227931,0.4456696825959374,0.569932801253573,0.5855554138914968,0.5596666041297008,0.5741275289462088,0.5853445121496693,0.5646616613893753,0.6087663946639142,0.5950368299714047,0.6055268349059476,0.5862401597110484,0.6004692484960128,0.587351844084528
r2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r5a,20.73745257979992,20.887653304241287,20.884047405456176,22.412230538091876,22.355528433964285,22.284663756072842,21.663564783475802,21.875902102572205,21.75698222677937,22.33610337425332,22.223616060930695,22.312109100587552,22.109343862330736,21.766961301436996,22.182270524135454,22.484858709010222,22.359745967884432,21.879742403225336,22.36029084321848,22.293712347843456,22.061115686266707,21.663412801075236,22.00500817249872,21.829924284884626,21.652857816973423,21.690346131867386,21.734730544084627,21.25581868636186,21.58659542824729,21.46813217167595,21.62938636278874,21.442724633976912,21.815707456789355,21.841436211899502,21.845332540987517,22.030655959919745,22.379448986558042,22.324543037649946,22.254857692101968,21.552998136311643,21.731188650279975,21.739398413059135,22.076347700314376,22.118099429440036,22.263224099794268,21.663465434527595,21.656852867721994,21.369127708259906,21.86491676602964,21.73092962597184,21.901094813562587
r6,11.769654367802659,11.849622712037954,11.805782762718078,12.284136295713013,12.160608327732769,12.250516969977399,12.077733175862333,12.168502017578058,12.10207820970297,12.282578682569078,11.992384717773179,12.270634217367547,12.261786987558787,12.077744337629644,12.245417054331277,12.256054885665446,12.282507160842103,11.715429656803307,12.161058736021547,12.072444497586249,11.882706140434504,12.045128965907566,12.180077406741546,12.122390524820192,12.037511653033544,12.053580821490417,12.070928311118111,11.909394292324166,12.018126699850232,11.952120062264063,12.02053351017026,11.928200552200243,12.094068470654353,12.090560848921521,12.119805388155218,12.16565269732631,12.190770098794705,12.105246154870558,12.018768211242863,11.916364670662967,12.036705152922977,11.989032414788968,12.186428908049605,12.229738739019359,12.260935372675885,12.049265506591626,12.018500093803814,11.895617523941844,12.104938702436923,12.066403309977941,12.125251094950352
r7,-4.765013978290126,-4.82064241244967,-4.986987462766153,-6.894031162377458,-7.246387773981619,-6.709591510272502,-5.847979255241764,-6.015747186118289,-5.98414272813654,-6.709943705357003,-7.589501281233982,-6.6977358819987,-6.226211705591243,-6.106425903074999,-6.4740080930135155,-7.187927229863765,-6.769336276345146,-7.8376373808500945,-7.256492163959963,-7.444502879263645,-7.62196465392876,-5.978016139057589,-6.292210804280137,-6.085248612930813,-5.98209793030018,-6.01154204370597,-6.053113115739143,-5.50196954660796,-5.893981771215369,-5.861850180133654,-5.99133186629085,-5.894009376142142,-6.162994759355204,-6.241347134062692,-6.134109799847916,-6.414029110494651,-7.185542071215903,-7.390372974642627,-7.562071385283471,-6.217036658127473,-6.181151014007152,-6.392366373491963,-6.44515361858751,-6.376293617523917,-6.614318758781866,-5.961601559952513,-6.068131794089726,-5.840349174882412,-6.24253710532687,-6.061710825017855,-6.251732654104839
r8,3.5023201947562796,3.5144901497941445,3.4093976499759613,2.695052566667784,2.457110276875563,2.770462729852453,3.1148769603102844,3.0763774157298855,3.058967740783208,2.786317488606025,2.201441718269552,2.7864491676844283,3.0177876409837774,2.9856592172773317,2.8857044806588816,2.534063827900855,2.7565854422484777,1.9388961379765728,2.452283286030798,2.3139708091613005,2.1303707432528602,3.033556413424988,2.9439333012307025,3.0185709559446896,3.0277068613666764,3.021019388892226,3.0089075976894772,3.2037123728580936,3.062072464317433,3.045134941065201,3.014600821939706,3.0170955880290573,2.965536855649584,2.9246068574294193,2.992847794153644,2.875811793415826,2.5026140137893997,2.3574365901139656,2.2283484129796913,2.849664006267747,2.9277770694578993,2.798333020648504,2.8706376447310507,2.9267225607477196,2.8233083069470006,3.0438319733195556,2.975184149857039,3.0276341745297204,2.9312007985550212,3.0023462424800376,2.936759220422757
